time,"V(1,0)","P(3,0)","V(3,0)","V(5,0)"
1.950000e-11,2.018966e-10,7.301080e-01,5.436477e-10,1.710560e-07
1.975000e-11,8.776190e-10,7.301082e-01,-2.733715e-10,1.564539e-07
2.000000e-11,1.188341e-09,7.301080e-01,-5.487444e-10,1.429731e-07
2.025000e-11,1.172421e-09,7.301077e-01,-3.861710e-10,1.305777e-07
2.050000e-11,9.343846e-10,7.301076e-01,3.288697e-11,1.192338e-07
2.075000e-11,5.973045e-10,7.301079e-01,5.160442e-10,1.088898e-07
2.100000e-11,2.641545e-10,7.301084e-01,9.112460e-10,9.947325e-08
2.125000e-11,-1.759514e-12,7.301092e-01,1.133326e-09,9.089848e-08
2.150000e-11,-1.772365e-10,7.301100e-01,1.165850e-09,8.307818e-08
2.175000e-11,-2.674071e-10,7.301108e-01,1.044840e-09,7.593327e-08
2.200000e-11,-2.907070e-10,7.301115e-01,8.339473e-10,6.939761e-08
2.225000e-11,-2.673668e-10,7.301121e-01,6.001073e-10,6.341772e-08
2.250000e-11,-2.140634e-10,7.301124e-01,3.958984e-10,5.794929e-08
2.275000e-11,-1.436778e-10,7.301127e-01,2.510990e-10,5.295275e-08
2.300000e-11,-6.726160e-11,7.301129e-01,1.727009e-10,4.839019e-08
2.325000e-11,4.501585e-12,7.301130e-01,1.506144e-10,4.422418e-08
2.350000e-11,6.162004e-11,7.301131e-01,1.656945e-10,4.041831e-08
2.375000e-11,9.658431e-11,7.301133e-01,1.972414e-10,3.693867e-08
2.400000e-11,1.063628e-10,7.301134e-01,2.282633e-10,3.375516e-08
2.425000e-11,9.332374e-11,7.301136e-01,2.479890e-10,3.084196e-08
2.450000e-11,6.447505e-11,7.301138e-01,2.520272e-10,2.817716e-08
2.475000e-11,2.927877e-11,7.301140e-01,2.410284e-10,2.574167e-08
2.500000e-11,-3.093491e-12,7.301142e-01,2.187473e-10,2.351800e-08
2.525000e-11,-2.606784e-11,7.301143e-01,1.901858e-10,2.148928e-08
2.550000e-11,-3.684662e-11,7.301144e-01,1.601893e-10,1.963888e-08
2.575000e-11,-3.628544e-11,7.301146e-01,1.325928e-10,1.795050e-08
2.600000e-11,-2.777415e-11,7.301146e-01,1.098509e-10,1.640863e-08
2.625000e-11,-1.568863e-11,7.301147e-01,9.301696e-11,1.499906e-08
2.650000e-11,-3.980958e-12,7.301148e-01,8.194454e-11,1.370929e-08
2.675000e-11,4.716411e-12,7.301149e-01,7.561187e-11,1.252859e-08
2.700000e-11,9.361179e-12,7.301149e-01,7.250077e-11,1.144782e-08
2.725000e-11,1.025805e-11,7.301150e-01,7.097325e-11,1.045906e-08
2.750000e-11,8.532815e-12,7.301150e-01,6.959482e-11,9.555240e-09
2.775000e-11,5.562996e-12,7.301151e-01,6.736060e-11,8.729732e-09
2.800000e-11,2.536589e-12,7.301151e-01,6.379588e-11,7.976202e-09
2.825000e-11,2.144948e-13,7.301152e-01,5.892874e-11,7.288530e-09
2.850000e-11,-1.111286e-12,7.301152e-01,5.316001e-11,6.660859e-09
2.875000e-11,-1.522099e-12,7.301152e-01,4.707722e-11,6.087698e-09
2.900000e-11,-1.313359e-12,7.301153e-01,4.126684e-11,5.564015e-09
2.925000e-11,-8.350898e-13,7.301153e-01,3.617055e-11,5.085290e-09
2.950000e-11,-3.733627e-13,7.301153e-01,3.201214e-11,4.647514e-09
2.975000e-11,-8.965201e-14,7.301154e-01,2.879707e-11,4.247142e-09
3.000000e-11,-1.551273e-14,7.301154e-01,2.636734e-11,3.881019e-09
3.025000e-11,-8.723326e-14,7.301154e-01,2.448275e-11,3.546301e-09
3.050000e-11,-1.993969e-13,7.301154e-01,2.290012e-11,3.240392e-09
3.075000e-11,-2.567327e-13,7.301154e-01,2.142950e-11,2.960891e-09
3.100000e-11,-2.089289e-13,7.301154e-01,1.995931e-11,2.705566e-09
3.125000e-11,-6.137415e-14,7.301155e-01,1.845300e-11,2.472341e-09
3.150000e-11,1.364998e-13,7.301155e-01,1.692763e-11,2.259295e-09
3.175000e-11,3.168036e-13,7.301155e-01,1.542646e-11,2.064660e-09
3.200000e-11,4.212068e-13,7.301155e-01,1.399546e-11,1.886817e-09
