time,"I(RX1)","I(RX2)","I(RIN)","I(LQ2|XI0)","I(LQ2|XI1)","I(LQ2|XI2)","I(LQ2|XI3)","I(LQ2|XI4)","I(LQ2|XI8)","I(LOUT)"
6.800000e-12,-3.057256e-08,-3.177007e-09,-4.663761e-06,8.824665e-05,8.376204e-05,8.340422e-05,8.490886e-05,8.680306e-05,6.069956e-05,-1.280544e-06
7.000000e-12,-1.859532e-08,8.685447e-10,-4.624316e-06,7.956056e-05,7.582297e-05,7.480361e-05,7.615837e-05,7.820653e-05,7.189961e-05,-1.353642e-06
7.200000e-12,-2.221047e-08,9.446865e-09,-4.634154e-06,7.051660e-05,6.834316e-05,6.679721e-05,6.782254e-05,6.977848e-05,8.168655e-05,-1.310373e-06
7.400000e-12,-4.612874e-08,1.616317e-08,-4.679101e-06,6.211431e-05,6.200595e-05,6.011782e-05,6.070405e-05,6.239121e-05,8.850456e-05,-1.185566e-06
7.600000e-12,-8.210872e-08,1.615504e-08,-4.743466e-06,5.501111e-05,5.719184e-05,5.516414e-05,5.526186e-05,5.657401e-05,9.121473e-05,-1.016252e-06
7.800000e-12,-1.148984e-07,8.652664e-09,-4.814900e-06,4.954349e-05,5.404214e-05,5.207864e-05,5.168148e-05,5.256552e-05,8.943902e-05,-8.318064e-07
8.000000e-12,-1.334917e-07,-3.035790e-09,-4.886147e-06,4.581967e-05,5.254744e-05,5.084800e-05,4.997810e-05,5.041232e-05,8.363337e-05,-6.504060e-07
8.200000e-12,-1.377058e-07,-1.363185e-08,-4.954385e-06,4.382483e-05,5.262159e-05,5.138256e-05,5.008422e-05,5.006166e-05,7.488255e-05,-4.804756e-07
8.400000e-12,-1.355894e-07,-1.876636e-08,-5.019441e-06,4.350032e-05,5.414145e-05,5.355368e-05,5.189617e-05,5.141828e-05,6.453091e-05,-3.247506e-07
8.600000e-12,-1.354866e-07,-1.716002e-08,-5.081861e-06,4.478191e-05,5.694975e-05,5.718655e-05,5.527391e-05,5.435555e-05,5.381851e-05,-1.848761e-07
8.800000e-12,-1.397010e-07,-1.107041e-08,-5.141318e-06,4.759758e-05,6.083199e-05,6.202139e-05,6.000313e-05,5.868680e-05,4.365547e-05,-6.505693e-08
9.000000e-12,-1.435351e-07,-4.856669e-09,-5.195527e-06,5.183385e-05,6.548644e-05,6.766894e-05,6.574210e-05,6.411538e-05,3.457190e-05,2.635412e-08
9.200000e-12,-1.391271e-07,-2.464312e-09,-5.239809e-06,5.728437e-05,7.050990e-05,7.359343e-05,7.198624e-05,7.019281e-05,2.679620e-05,7.807037e-08
9.400000e-12,-1.212685e-07,-5.198391e-09,-5.267535e-06,6.360042e-05,7.541625e-05,7.914931e-05,7.808321e-05,7.631754e-05,2.038063e-05,7.971647e-08
9.600000e-12,-9.184252e-08,-1.106776e-08,-5.271582e-06,7.026659e-05,7.969119e-05,8.367414e-05,8.331280e-05,8.179429e-05,1.530726e-05,2.673798e-08
9.800000e-12,-6.006294e-08,-1.616199e-08,-5.246623e-06,7.662337e-05,8.287011e-05,8.661124e-05,8.701456e-05,8.594663e-05,1.154530e-05,-7.600256e-08
1.000000e-11,-3.787791e-08,-1.721271e-08,-5.191615e-06,8.194693e-05,8.461594e-05,8.761997e-05,8.872103e-05,8.824828e-05,9.065906e-06,-2.137533e-07
1.020000e-11,-3.322879e-08,-1.359292e-08,-5.111405e-06,8.557463e-05,8.477307e-05,8.663601e-05,8.825039e-05,8.842842e-05,7.836109e-06,-3.648262e-07
1.040000e-11,-4.562640e-08,-7.424252e-09,-5.016395e-06,8.703969e-05,8.338184e-05,8.386358e-05,8.572778e-05,8.651530e-05,7.808674e-06,-5.058253e-07
1.060000e-11,-6.681118e-08,-1.906287e-09,-4.920062e-06,8.616698e-05,8.065103e-05,7.970584e-05,8.153145e-05,8.280604e-05,8.912933e-06,-6.172044e-07
1.080000e-11,-8.562487e-08,7.972175e-10,-4.835334e-06,8.309516e-05,7.689934e-05,7.466010e-05,7.618575e-05,7.777618e-05,1.104502e-05,-6.872024e-07
1.100000e-11,-9.376521e-08,6.892373e-10,-4.771322e-06,7.821941e-05,7.248459e-05,6.921267e-05,7.023906e-05,7.196202e-05,1.405831e-05,-7.129818e-07
1.120000e-11,-8.926530e-08,-4.401616e-10,-4.731545e-06,7.207847e-05,6.774009e-05,6.376200e-05,6.416387e-05,6.585342e-05,1.776099e-05,-6.990472e-07
1.140000e-11,-7.643059e-08,-3.851919e-10,-4.714068e-06,6.522565e-05,6.293090e-05,5.858252e-05,5.830095e-05,5.982415e-05,2.192790e-05,-6.541028e-07
1.160000e-11,-6.291816e-08,2.104555e-09,-4.713191e-06,5.812302e-05,5.823372e-05,5.382468e-05,5.284908e-05,5.410780e-05,2.632444e-05,-5.878155e-07
1.180000e-11,-5.573444e-08,6.723225e-09,-4.721813e-06,5.108299e-05,5.373697e-05,4.953746e-05,4.788689e-05,4.881053e-05,3.072868e-05,-5.085263e-07
1.200000e-11,-5.806821e-08,1.196264e-08,-4.733548e-06,4.426111e-05,4.945391e-05,4.569796e-05,4.340853e-05,4.394372e-05,3.493745e-05,-4.222283e-07
1.220000e-11,-6.825368e-08,1.606402e-08,-4.744050e-06,3.768798e-05,4.534166e-05,4.223792e-05,3.935806e-05,3.946018e-05,3.875434e-05,-3.325804e-07
1.240000e-11,-8.110260e-08,1.796517e-08,-4.751371e-06,3.132008e-05,4.132066e-05,3.906248e-05,3.565477e-05,3.528370e-05,4.197267e-05,-2.415059e-07
1.260000e-11,-9.079054e-08,1.774056e-08,-4.755568e-06,2.509033e-05,3.729187e-05,3.606205e-05,3.220811e-05,3.132840e-05,4.437072e-05,-1.499739e-07
1.280000e-11,-9.380834e-08,1.636084e-08,-4.757936e-06,1.894552e-05,3.315087e-05,3.311980e-05,2.892541e-05,2.750979e-05,4.572864e-05,-5.871977e-08
