input current,output probabiility
50.0,0.0008138941651176854
51.0,0.000889509247720863
52.0,0.0007902105297850036
53.0,0.011236859421655514
54.0,0.0008130470451303152
55.0,0.0007784050170898599
56.0,0.0007756089475031736
57.0,0.011018392320252073
58.0,0.0008586371640661108
59.0,0.0007964882220166861
60.0,0.0008536345364328316
61.0,0.0007679496159037643
62.0,0.011259413212573855
63.0,0.0008503951785649926
64.0,0.0008172606793991119
65.0,0.0008309109555159902
66.0,0.011207596598318508
67.0,0.0008741850953220019
68.0,0.0008674669282174832
69.0,0.01114859300263333
70.0,0.02167856935195068
71.0,0.011010491891212663
72.0,0.02165850440834836
73.0,0.0008316144918086664
74.0,0.0008169681223607304
75.0,0.02161820966257758
76.0,0.021672560318755828
77.0,0.021430404238759443
78.0,0.000882355834569994
79.0,0.021435504269810442
80.0,0.011008922873469489
81.0,0.011259341816001819
82.0,0.0008346246916762907
83.0,0.011212939827100567
84.0,0.0212148273739331
85.0,0.011250082201383701
86.0,0.011251881786690203
87.0,0.011043105155670134
88.0,0.021673481341308195
89.0,0.011301705764523034
90.0,0.0008760124827318895
91.0,0.000784125325251813
92.0,0.011200870953742384
93.0,0.021624419177078358
94.0,0.010991357087571298
95.0,0.01125055324759652
96.0,0.011230409213744684
97.0,0.0008464125040582534
98.0,0.011017934443293308
99.0,0.0008243905038108368
100.0,0.011116243436952942
101.0,0.0008100928245416153
102.0,0.0008586975750347842
103.0,0.021692778680578204
104.0,0.0008892165302393002
105.0,0.011123824453466359
106.0,0.011234020724257459
107.0,0.021641538757900664
108.0,0.01109835714576742
109.0,0.021645007304444616
110.0,0.03173932509410488
111.0,0.0008232842353850991
112.0,0.0007789071160485707
113.0,0.021679508470157424
114.0,0.0008591453437111741
115.0,0.0008153192480354406
116.0,0.011137900570709314
117.0,0.021207756578025733
118.0,0.03176284602864626
119.0,0.011007224080571565
120.0,0.011010332572316237
121.0,0.021674522743146796
122.0,0.011296215599730161
123.0,0.021203023384726766
124.0,0.021683577515265475
125.0,0.011278608588497767
126.0,0.01116874690374233
127.0,0.011236736697609955
128.0,0.011109892350925557
129.0,0.021646155994177303
130.0,0.021199094390976635
131.0,0.02123826853093277
132.0,0.031386408834828725
133.0,0.02124447573804529
134.0,0.021186013840723734
135.0,0.03136485389307361
136.0,0.03209607048375265
137.0,0.0008450322017059217
138.0,0.031400700044864685
139.0,0.03212074457231743
140.0,0.05285384985609269
141.0,0.011064904027195973
142.0,0.03141315130676861
143.0,0.03206054174948405
144.0,0.06200809464255425
145.0,0.042535650457825355
146.0,0.052365143745479986
147.0,0.05184538118682277
148.0,0.05285547790373541
149.0,0.08245616825650284
150.0,0.0722781607676772
151.0,0.0935532962555772
152.0,0.07221135007119785
153.0,0.08239487586755721
154.0,0.0840564048624219
155.0,0.08239443626168072
156.0,0.10485340407170705
157.0,0.08320643583336898
158.0,0.1140817490681275
159.0,0.1360934786313335
160.0,0.15689058254895286
161.0,0.16359712519788527
162.0,0.2297462189199242
163.0,0.26568224119473605
164.0,0.3064826644645869
165.0,0.28618387951020346
166.0,0.32690236774984643
167.0,0.3368684925948468
168.0,0.3232904049039927
169.0,0.3233079170493572
170.0,0.33366405221549356
171.0,0.34412295719689706
172.0,0.3337225631870589
173.0,0.3336858407284814
174.0,0.33370042101368863
175.0,0.3336991490850715
176.0,0.33364753372838013
177.0,0.34412123518454024
178.0,0.3441104062632794
179.0,0.33369473056668764
180.0,0.3648905084709274
181.0,0.354544844848243
182.0,0.35446729687579176
183.0,0.3545759591887225
184.0,0.34412864420400774
185.0,0.3440960390324163
186.0,0.3648845440632289
187.0,0.3472399681198657
188.0,0.37530221596336183
189.0,0.3574501917804306
190.0,0.3676040666901877
191.0,0.3573830753400869
192.0,0.3778612723517124
193.0,0.3880207065464703
194.0,0.3752899397309545
195.0,0.39611519073323576
196.0,0.3961221272264311
197.0,0.3880561651185156
198.0,0.3960817106480005
199.0,0.3960979596784089
200.0,0.4065344855849874
201.0,0.3960656641071163
202.0,0.4084191120984978
203.0,0.4169121265692157
204.0,0.40840612863167775
205.0,0.43770898254221136
206.0,0.41687110875612665
207.0,0.438985675200354
208.0,0.40647000217078605
209.0,0.45375947156865926
210.0,0.39607473781854297
211.0,0.41684766329312245
212.0,0.427235313646385
213.0,0.41685930231922785
214.0,0.42733994511486173
215.0,0.3960970395142626
216.0,0.4376677444368332
217.0,0.4272892755800118
218.0,0.4376227010600246
219.0,0.42729081158554477
220.0,0.42731317651095035
221.0,0.4480974097591563
222.0,0.4273348629496559
223.0,0.43767068783783647
224.0,0.448076463299219
225.0,0.44810031348792817
226.0,0.45849502888125204
227.0,0.4584647276110939
228.0,0.4480857343577365
229.0,0.47928208538175676
230.0,0.4584608807494026
231.0,0.48965449644045794
232.0,0.4480330628100011
233.0,0.46884383097869575
234.0,0.43761307018956974
235.0,0.46890911405822194
236.0,0.44808544856806193
237.0,0.4376769006842822
238.0,0.4792534328703191
239.0,0.5104117464651947
240.0,0.5104571947393831
241.0,0.4792658833470943
242.0,0.4792247651832078
243.0,0.4480587769190296
244.0,0.41683320814094355
245.0,0.4896728907131346
246.0,0.4376446167152089
247.0,0.4585229625383914
248.0,0.46886629979440014
249.0,0.5000885742525409
250.0,0.47923620051176913
251.0,0.4480003311121229
252.0,0.45845418554124434
253.0,0.4688640243587485
254.0,0.42727242325038833
255.0,0.4480312740624312
256.0,0.4167775169611297
257.0,0.4376258621203442
258.0,0.4688259224596961
259.0,0.5104170581199481
260.0,0.47926013385770977
261.0,0.4789733500582153
262.0,0.4593548772313877
263.0,0.44804774259683805
264.0,0.5622841967230268
265.0,0.6350957124941538
266.0,0.6557091059829042
267.0,0.7312279240242329
268.0,0.7285824258417405
269.0,0.7287254339274313
270.0,0.7389734524525714
271.0,0.7848442022871532
272.0,0.7598106309674455
273.0,0.8014383124983134
274.0,0.8222739125713167
275.0,0.8743519617079457
276.0,0.7805999820883079
277.0,0.8564875169325387
278.0,0.8960964571441306
279.0,0.9167610026568096
280.0,0.9583429327577355
281.0,0.9577147368027823
282.0,0.9276733886236931
283.0,1.0509292458171027
284.0,1.0397413936047355
285.0,1.0805266457395435
286.0,1.1341024963172117
287.0,1.0913914710818329
288.0,1.0709618509618772
289.0,1.1120535799863454
290.0,1.1132724992861311
291.0,1.1942814356786442
292.0,1.2230973491959427
293.0,1.2332909091351547
294.0,1.2332225852176169
295.0,1.1834265373252046
296.0,1.2558388883472915
297.0,1.2483857442625623
298.0,1.2559522073700784
299.0,1.2895985198179436
300.0,1.2969353464313702
